äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2018/08/03,11758,11758,303.41,
2018/08/06,11712,11712,302.88,
2018/08/07,12025,12025,310.17,
2018/08/08,12024,12024,308.25,
2018/08/09,11955,11955,303.09,
2018/08/10,11273,11273,286.64,
2018/08/13,10383,10383,268.97,
2018/08/14,11250,11250,303.21,
2018/08/15,10946,10946,301.63,
2018/08/16,10903,10903,301.93,
2018/08/17,11115,11115,310.95,
2018/08/20,10899,10899,301.53,
2018/08/21,11026,11026,305.47,
2018/08/22,11239,11239,311.61,
2018/08/23,11434,11434,312.62,
2018/08/24,11827,11827,322.69,
2018/08/27,12230,12230,330.47,
2018/08/28,12299,12299,319.74,
2018/08/29,12415,12415,308.24,
2018/08/30,12461,12461,306.94,
2018/08/31,12437,12437,295.23,
2018/09/03,12085,12085,286.53,
2018/09/04,12222,12222,289.33,
2018/09/05,11743,11743,279.02,
2018/09/06,11562,11562,279.75,
2018/09/07,11340,11340,277.49,
2018/09/10,11309,11309,288.69,
2018/09/11,11947,11947,308.36,
2018/09/12,11837,11837,304.18,
2018/09/13,12266,12266,317.06,
2018/09/14,13061,13061,326.81,
2018/09/18,13813,13813,333.38,
2018/09/19,14425,14425,327.89,
2018/09/20,14266,14266,309.16,
2018/09/21,15030,15030,309.30,
2018/09/25,15000,15000,304.14,
2018/09/26,15709,15709,308.04,
2018/09/27,15228,15228,302.27,
2018/09/28,16021,16021,318.74,
2018/10/01,16562,16562,326.72,
2018/10/02,16474,16474,328.89,
2018/10/03,16067,16067,319.81,
2018/10/04,15440,15440,308.50,
2018/10/05,15161,15161,301.84,
2018/10/09,14204,14204,287.76,
2018/10/10,14360,14360,297.37,
2018/10/11,11869,11869,254.13,
2018/10/12,12023,12023,289.69,
2018/10/15,10964,10964,294.54,
2018/10/16,11456,11456,323.17,
2018/10/17,12504,12504,361.42,
2018/10/18,11804,11804,345.35,
2018/10/19,11668,11668,344.85,
2018/10/22,11889,11889,358.99,
2018/10/23,10286,10286,312.38,
2018/10/24,10509,10509,343.23,
