date,rakuten-vti_start_100,rakuten-nasdaq_start_100
2025-11-19,142.5132783365352,152.68
2025-11-20,144.58884243040643,155.27
2025-11-21,142.4680754887558,151.79
2025-11-25,145.68877839303875,156.34
2025-11-26,146.78494745168948,156.76000000000002
2025-11-27,147.34998304893207,157.66
2025-11-28,148.02802576562323,158.39000000000001
2025-12-01,148.1297321731269,158.85
2025-12-02,147.24450973744678,158.10999999999999
2025-12-03,147.55339586393944,159.58
2025-12-04,147.70030511922252,159.35
2025-12-05,147.7605755829284,159.02
2025-12-08,148.07699551738426,159.84
2025-12-09,148.39341545184013,160.26
2025-12-10,149.05262364862318,161.4
2025-12-11,149.18823219196142,161.03
2025-12-12,149.53478735827025,160.3
2025-12-15,148.12219836516368,157.56
2025-12-16,146.97705955475195,155.85
2025-12-17,146.1483406787961,155.82
2025-12-18,145.41002749839907,153.73000000000002
2025-12-19,146.7548122198365,156.29
2025-12-22,149.7419670772592,160.12
2025-12-23,149.90394394846876,159.97
2025-12-24,149.8964101405055,160.22
2025-12-25,150.11865747542095,160.34
2025-12-26,150.68369307266357,160.94
2025-12-29,150.55185143330695,160.82
2025-12-30,150.07345462764155,160.17
2026-01-05,149.83990658078125,158.92
2026-01-06,150.4049421780239,159.56
2026-01-07,151.41070554111576,161.0
2026-01-08,151.0792179907334,161.29
2026-01-09,151.39940482917092,160.66
2026-01-13,153.7876219535164,163.61
2026-01-14,154.42799563039137,164.32
2026-01-15,153.1623158925679,161.88
2026-01-16,153.81775718536935,162.59
2026-01-19,152.54831054356424,161.23000000000002
2026-01-20,153.16608279654952,161.88
2026-01-21,150.19776245903492,158.5
2026-01-22,151.99457565826646,160.67000000000002
2026-01-23,153.13594756469658,162.24
2026-01-26,149.36150977511585,158.92
2026-01-27,149.50088522243567,159.06
2026-01-28,148.2352054846122,158.51999999999998
2026-01-29,148.8153086977813,159.75
2026-01-30,148.965984857046,159.42000000000002
2026-02-02,149.79093682902024,159.06
2026-02-03,150.93230873545033,160.54
2026-02-04,150.22413078690624,158.51999999999998
2026-02-05,150.2617998267224,156.49
2026-02-06,148.2992428522997,154.31
2026-02-09,151.56891550834368,157.77
2026-02-10,151.54631408445397,158.18
2026-02-12,148.28417523637322,154.89
2026-02-13,145.54940294571892,151.37
2026-02-16,145.9562285757336,151.79
2026-02-17,146.1935435265755,152.04
2026-02-18,146.28018231815273,151.75
2026-02-19,148.52902399517836,154.51
2026-02-20,148.59306136286585,154.26
2026-02-24,147.55716276792103,153.42
2026-02-25,149.69299732549817,156.06
2026-02-26,151.16962368629223,158.6
2026-02-27,150.2354314988511,156.4
2026-03-02,150.17892793912685,156.67
2026-03-03,151.2524955738878,157.85
2026-03-04,149.91901156439522,156.31
2026-03-05,149.97551512411948,157.59
2026-03-06,149.81353825290992,157.98000000000002
2026-03-09,148.95091724111953,156.86
2026-03-10,149.30877311937317,157.95
2026-03-11,149.4406147587298,158.39000000000001
2026-03-12,150.12619128338417,159.3
2026-03-13,147.89241722228502,156.72
2026-03-16,147.23697592948355,155.92
2026-03-17,148.68346705842467,157.62
2026-03-18,149.01495460880702,158.24
2026-03-19,147.60236561570045,156.66
2026-03-23,144.69808264587337,152.93
2026-03-24,145.47406486608656,153.79
2026-03-25,145.19531397144686,152.78
2026-03-26,146.86781933928503,154.64
2026-03-27,144.41179794327044,151.02
2026-03-30,142.23452744189552,148.48
2026-03-31,141.49998116548008,147.23
2026-04-01,144.72068406976305,151.31
2026-04-02,145.6774776810939,152.96
2026-04-03,146.81131577956077,154.07999999999998
2026-04-06,146.87535314724826,154.14000000000001
2026-04-07,147.60613251968206,155.17000000000002
2026-04-08,146.5966022526086,154.06
2026-04-09,150.57821976117827,158.79000000000002
2026-04-10,151.73089237955324,160.32
2026-04-13,152.10004896975175,161.12
2026-04-14,153.11711304478848,162.17
2026-04-15,154.6050401175274,164.76999999999998
2026-04-16,155.68237465627,166.98999999999998
2026-04-17,156.627867555656,168.42999999999998
2026-04-20,158.25517007571477,170.16
2026-04-21,158.10826082043167,169.64
2026-04-22,157.23433909669643,169.14000000000001
2026-04-23,158.92191208046108,172.23999999999998
2026-04-24,158.74863449730668,171.76
2026-04-27,159.4869476777037,174.78
2026-04-28,159.68659358872944,174.78
2026-04-30,159.47941386974045,174.95000000000002
2026-05-01,158.01785512487288,173.06
2026-05-07,160.65845481598674,179.44
2026-05-08,160.6094850642257,179.99
2026-05-11,161.75839077861903,184.17
2026-05-12,162.5193053829058,185.21
2026-05-13,162.53813990281387,184.04
2026-05-14,163.4911666101631,186.06
2026-05-15,165.39345312087994,188.21
2026-05-18,163.73601536896825,185.84
2026-05-19,163.6192413455381,185.07
2026-05-20,162.57957584661168,183.95999999999998
2026-05-21,164.35755452593511,186.91
2026-05-22,164.99792820281013,187.57999999999998
2026-05-25,165.47255810449394,188.04000000000002
2026-05-26,165.58933212792405,188.17
2026-05-27,167.11492824047914,191.86
2026-05-28,167.41628055900856,192.08
2026-05-29,168.17342825931368,193.35999999999999
2026-06-01,168.64429125701585,194.15
2026-06-02,169.34870230157833,195.67000000000002
2026-06-03,170.02674501826948,196.89000000000001
2026-06-04,168.79873432026218,196.32
2026-06-05,169.63498700418128,195.38
2026-06-08,165.43865596865936,186.46
2026-06-09,165.87561683052698,189.34
2026-06-10,165.6383018796851,187.35999999999999
2026-06-11,163.23878404339473,183.83
2026-06-12,165.64583568764832,189.38
2026-06-15,166.57626097110784,190.6
2026-06-16,169.48807774889818,196.58
2026-06-17,168.6970279127585,193.09
2026-06-18,166.95671827325123,191.59
2026-06-19,169.26583041398274,196.77
2026-06-22,169.71785889177684,197.3
2026-06-23,169.20555995027686,196.96
2026-06-24,166.8926809055637,190.51
2026-06-25,167.02828944890194,189.87
2026-06-26,167.26183749576222,191.39
2026-06-29,166.7344709383358,189.12
2026-06-30,169.6462877161261,194.14000000000001
2026-07-01,171.35269521979885,197.84
2026-07-02,170.91573435793123,194.70000000000002
2026-07-03,169.22816137416658,189.92
2026-07-06,169.5558820205673,190.29
2026-07-07,171.48453685915547,193.37
